Key,English(en),French(fr),German(de),Hindi(hi),Italian(it),Polish(pl),Russian(ru),Spanish(es),Ukrainian(uk),Turkish(tr)
init.err_critical,The Aura flickered. Please try again.,L'Aura a vacillé. Veuillez réessayer.,Die Aura flackerte. Bitte versuche es erneut.,औरा झिलमिलाई। कृपया पुनः प्रयास करें।,L'Aura tremolò. Per favore riprova.,Aura zamigotała. Spróbuj ponownie.,"Аура мерцала. Пожалуйста, попробуйте снова.",El Aura parpadeó. Por favor intenta de nuevo.,"Аура мерехтіла. Будь ласка, спробуй ще раз.",Aura Titredi.
init.err_critical.mystic,The cosmic thread snapped. Reconnect.,Le fil cosmique a rompu. Reconnectez-vous.,Der kosmische Faden ist gerissen. Verbinde dich erneut.,ब्रह्मांडीय धागा टूट गया। पुनः जुड़ें।,Il filo cosmico si è spezzato. Riconnettiti.,Kosmiczna nić pękła. Połącz się ponownie.,Космическая нить оборвалась. Переподключитесь.,El hilo cósmico se rompió. Reconecta.,Космічна нитка обірвалася. Перепідключіться.,Kozmik bağ koptu. Yeniden bağlan.
init.err_critical.business,Critical error. Contact support or retry.,Erreur critique. Contactez le support ou réessayez.,Kritischer Fehler. Kontaktiere den Support oder versuche es erneut.,गंभीर त्रुटि। समर्थन से संपर्क करें या पुनः प्रयास करें।,Errore critico. Contatta il supporto o riprova.,Błąd krytyczny. Skontaktuj się z pomocą techniczną lub spróbuj ponownie.,Критическая ошибка. Свяжитесь с поддержкой или попробуйте снова.,Error crítico. Contacta al soporte o reintenta.,Критична помилка. Зв'яжіться з підтримкою або спробуйте знову.,Kritik hata. Destekle iletişime geçin veya tekrar deneyin.
init.err_critical.casual,Big glitch here! Try one more time.,Gros bug ici ! Réessaie encore une fois.,Riesen Fehler hier! Versuch's noch einmal.,यहाँ बड़ी गड़बड़ी! एक बार फिर कोशिश करें।,Grosso problema qui! Riprova ancora una volta.,Wielki błąd! Spróbuj jeszcze raz.,Тут серьезный глюк! Попробуй еще раз.,¡Gran error aquí! Inténtalo una vez más.,Тут великий глюк! Спробуй ще раз.,Burada büyük bir aksaklık var! Bir kez daha dene.
init.err_critical.tech,SYSTEM_CRITICAL_EXCEPTION,EXCEPTION_CRITIQUE_SYSTÈME,KRITISCHE_SYSTEM_AUSNAHME,सिस्टम_गंभीर_अपवाद,ECCEZIONE_CRITICA_DI_SISTEMA,KRYTYCZNY_WYJĄTEK_SYSTEMU,КРИТИЧЕСКАЯ_СИСТЕМНАЯ_ОШИБКА,EXCEPCIÓN_CRÍTICA_SISTEMA,КРИТИЧНА_СИСТЕМНА_ПОМИЛКА,SISTEM_KRITIK_ISTISNASI
essence.aura_title,ROLE / RANK,RÔLE / RANG,ROLLE / RANG,भूमिका / रैंक,RUOLO / RANGO,ROLA / RANG,РОЛЬ / РАНГ,ROL / RANGO,РОЛЬ / РАНГ,ROL / RÜTBE
harmony.session_opened,✦ Harmony Channel Opened ✦,✦ Canal d'Harmonie Ouvert ✦,✦ Harmony-Kanal Eröffnet ✦,✦ हार्मोनी चैनल खुला ✦,✦ Canale Armonia Aperto ✦,✦ Kanał Harmonii Otwarty ✦,✦ Канал Гармонии Открыт ✦,✦ Canal de Armonía Abierto ✦,✦ Канал Гармонії відкрито ✦,✦ Armoni Kanalı Açıldı ✦
harmony.status_active,Active,Actif,Aktiv,सक्रिय,Attivo,Aktywny,Активен,Activo,Активна,Aktif
harmony.window_expired,The 24-hour Harmony window has closed.,La fenêtre de 24h s'est fermée.,Das 24-Stunden-Fenster ist abgelaufen.,24 घंटे की खिड़की बंद हो गई।,La finestra di 24h si è chiusa.,Okno 24h zostało zamknięte.,24-часовое окно закрылось.,La ventana de 24h se ha cerrado.,24-годинне вікно закрилося.,24 saatlik pencere kapandı.
harmony.dissolved,✦ Harmony has been peacefully closed. ✦,✦ L'Harmonie s'est close paisiblement. ✦,✦ Harmonie friedlich beendet. ✦,✦ सद्भाव शांतिपूर्वक बंद हुआ। ✦,✦ Armonia chiusa in pace. ✦,✦ Harmonia zamknięta spokojnie. ✦,✦ Гармония мирно завершена. ✦,✦ Armonía cerrada en paz. ✦,✦ Гармонію мирно закрито. ✦,✦ Armoni huzurla kapandı. ✦
harmony.horas_offer_sent,⬡ You proposed {0} Horas,⬡ Vous proposez {0} Horas,⬡ Sie bieten {0} Horas an,⬡ आपने {0} Horas प्रस्तावित किए,⬡ Hai proposto {0} Horas,⬡ Zaproponowałeś {0} Horas,⬡ Вы предложили {0} Horas,⬡ Propusiste {0} Horas,⬡ Ви запропонували {0} Horas,⬡ {0} Horas teklif ettiniz
harmony.horas_offer_incoming,Proposal: {0} Horas,Proposition : {0} Horas,Angebot: {0} Horas,प्रस्ताव: {0} Horas,Proposta: {0} Horas,Propozycja: {0} Horas,Предложение: {0} Horas,Propuesta: {0} Horas,Пропозиція: {0} Horas,Teklif: {0} Horas
harmony.horas_accepted,⬡ {0} Horas accepted. Harmony grows.,⬡ {0} Horas acceptés. L'Harmonie grandit.,⬡ {0} Horas akzeptiert. Harmonie wächst.,⬡ {0} Horas स्वीकृत। सद्भाव बढ़ता है।,⬡ {0} Horas accettati. L'Armonia cresce.,⬡ {0} Horas zaakceptowane. Harmonia rośnie.,⬡ {0} Horas приняты. Гармония растёт.,⬡ {0} Horas aceptados. La Armonía crece.,⬡ {0} Horas прийнято. Гармонія зростає.,⬡ {0} Horas kabul edildi. Uyum büyüyor.
harmony.horas_declined,⬡ Horas proposal declined.,⬡ Proposition refusée.,⬡ Angebot abgelehnt.,⬡ प्रस्ताव अस्वीकृत।,⬡ Proposta rifiutata.,⬡ Propozycja odrzucona.,⬡ Предложение отклонено.,⬡ Propuesta rechazada.,⬡ Пропозицію відхилено.,⬡ Teklif reddedildi.
title.mentor,Mentor,Mentor,Mentor,परामर्शदाता,Mentore,Mentor,Ментор,Mentor,Ментор,Mentor
title.expert,Expert,Expert,Experte,विशेषज्ञ,Esperto,Ekspert,Эксперт,Experto,Експерт,Uzman
title.advisor,Advisor,Conseiller,Berater,सलाहकार,Consulente,Doradca,Советник,Asesor,Радник,Danışman
title.creator,Creator,Créateur,Schöpfer,निर्माता,Creatore,Twórca,Создатель,Creador,Творець,Yaratıcı
title.innovator,Innovator,Innovateur,Innovator,नवाचारक,Innovatore,Innowator,Инноватор,Innovador,Інноватор,Yenilikçi
title.aesthete,Aesthete,Esthète,Ästhet,सौंदर्यशास्त्री,Esteta,Esteta,Эстет,Esteta,Естет,Estetikçi
title.practitioner,Practitioner,Praticien,Praktiker,अभ्यासकर्ता,Praticante,Praktyk,Практик,Practicante,Практик,Uygulayıcı
title.supporter,Supporter,Soutien,Unterstützer,समर्थक,Sostenitore,Wspierający,Сторонник,Partidario,Помічник,Destekçi
title.craftsman,Craftsman,Artisan,Handwerker,कारीगर,Artigiano,Rzemieślnik,Мастер,Artesano,Майстер,Zanaatkâr
title.explorer,Explorer,Explorateur,Entdecker,अन्वेषक,Esploratore,Odkrywca,Исследователь,Explorador,Дослідник,Kaşif
title.seeker,Seeker,Chercheur,Sucher,साधक,Ricercatore,Poszukiwacz,Искатель,Buscador,Шукач,Arayıcı
btn.create_aura,✨ Create Aura,✨ Créer l'Aura,✨ Aura Erstellen,✨ औरा बनाएँ,✨ Crea Aura,✨ Stwórz Aurę,✨ Создать Ауру,✨ Crear Aura,✨ Створити Ауру,✨ Aura Oluştur
btn.update_aura,✨ Update Aura,✨ Mettre à jour l'Aura,✨ Aura Aktualisieren,✨ औरा अपडेट करें,✨ Aggiorna Aura,✨ Aktualizuj Aurę,✨ Обновить Ауру,✨ Actualizar Aura,✨ Оновити Ауру,✨ Aurayı Güncelle
menu.header,NEXUS MENU,MENU NEXUS,NEXUS-MENÜ,नेक्सस मेनू,MENU NEXUS,MENU NEXUS,МЕНЮ НЕКСУСА,MENÚ NEXUS,МЕНЮ НЕКСУСУ,NEXUS MENÜSÜ
menu.profile,MASTER PROFILE,PROFIL DU MAÎTRE,MASTER-PROFIL,माстер प्रोफाइल,PROFILO MAESTRO,PROFIL MISTRZA,ПРОФИЛЬ МАСТЕРА,PERFIL DE MAESTRO,ПРОФІЛЬ МАЙСТРА,USTA PROFİLİ
menu.aura,AURA RITE,RITE DE L'AURA,AURA-RITUS,औरा अनुष्ठान,RITO DELL'AURA,RYTUAŁ AURY,РИТУАЛ АУРЫ,RITO DE AURA,РИТУАЛ АУРИ,AURA RİTÜELİ
menu.feed,CHRONICLES,CHRONIQUES,CHRONIKEN,वृत्तांत,CRONACHE,KRONIKI,ХРОНИКИ,CRÓNICAS,ХРОНІКИ,GÜNCELER
menu.vault,VAULT,COFFRE-FORT,TRESOR,तिजोरी,CAVEAU,SKARBIEC,ХРАНИЛИЩЕ,BÓVEDA,СХОВИЩЕ,MAHZEN
menu.settings,SETTINGS,PARAMÈTRES,EINSTELLUNGEN,सेटिंग्स,IMPOSTAZIONI,USTAWIENIA,НАСТРОЙКИ,AJUSTES,НАЛАШТУВАННЯ,AYARLAR
menu.logout,LOGOUT,DÉCONNEXION,ABMELDEN,लॉगआउट,LOGOUT,WYLOGUJ,ВЫХОД,CERRAR SESIÓN,ВИХІД,ÇIKIŞ YAP
settings.header,NEXUS SETTINGS,RÉGLAGES NEXUS,NEXUS EINSTELLUNGEN,नेक्सस सेटिंग्स,IMPOSTAZIONI NEXUS,USTAWIENIA NEXUS,НАСТРОЙКИ НЕКСУСА,AJUSTES NEXUS,НАЛАШТУВАННЯ НЕКСУСУ,NEXUS AYARLARI
settings.master_vol,MASTER VOLUME,VOLUME PRINCIPAL,GESAMTLAUTSTÄRKE,माстер वॉल्यूम,VOLUME MASTER,GŁOŚNOŚĆ GŁÓWNA,ОБЩАЯ ГРОМКОСТЬ,VOLUMEN PRINCIPAL,ЗАГАЛЬНА ГУЧНІСТЬ,ANA SES
settings.music_vol,MUSIC,MUSIQUE,MUSIK,संगीत,MUSICA,MUZYKA,МУЗЫКА,MÚSICA,МУЗИКА,MÜZİK
settings.sfx_vol,EFFECTS (SFX),EFFETS (SFX),EFFEKTE (SFX),प्रभाव (SFX),EFFETTI (SFX),EFEKTY (SFX),ЭФФЕКТЫ (SFX),EFECTOS (SFX),ЕФЕКТИ (SFX),EFEKTLER (SFX)
settings.ambience_vol,AMBIENCE,AMBIANCE,AMBIENTE,वातावरण,AMBIENCE,AMBIENT,ОКРУЖЕНИЕ,AMBIENTE,АМБІЄНТ,AMBYANS
settings.mute,MUTE ALL,TOUT MUTE,ALLES STUMMSCHALTEN,सभी को म्यूट करें,MUTO TOTALE,WYCISZ WSZYSTKO,ВЫКЛЮЧИТЬ ВСЁ,SILENCIAR TODO,ВИМКНУТИ ВСЕ,TÜMÜNÜ SESSİZE AL
msg.welcome_nexus,WELCOME TO THE NEXUS,BIENVENUE AU NEXUS,WILLKOMMEN IM NEXUS,नेक्सस में स्वागत है,BENVENUTI NEL NEXUS,WITAJ W NEXUS,ДОБРО ПОЖАЛОВАТЬ В НЕКСУС,BIENVENIDO AL NEXUS,ЛАСКАВО ПРОСИМО ДО НЕКСУСУ,NEXUS'A HOŞ GELDİNİZ
term.current_aura,YOUR CURRENT AURA...,VOTRE AURA ACTUELLE...,DEINE AKTUELLE AURA...,आपकी वर्तमान औरा...,LA TUA AURA ATTUALE...,TWOJA AKTUALNA AURA...,ВАША ТЕКУЩАЯ АУРА...,TU AURA ACTUAL...,ВАША ПОТОЧНА АУРА...,MEVCUT AURANIZ...
term.my_gifts,MY GIFTS,MES DONS,MEINE GABEN,मेरे उपहार,I MIEI DONI,MOJE DARY,МОИ ДАРЫ,MIS DONES,МОЖУ,BENİM HEDİYELERİM
term.i_seek,I SEEK,JE CHERCHE,ICH SUCHE,मैं खोजता हूँ,CERCO,SZUKAM,Я ИЩУ,BUSCO,ХОЧУ,ARADIĞIM
init.age_question,HOW MANY WINTER CYCLES HAS YOUR SPARK BURNED?,COMBIEN DE CYCLES D'HIVER TON ÉTINCELLE A-T-ELLE BRÛLÉ ?,WIE VIELE WINTERZYKLEN HAT DEIN FUNKE GEBRANNT ?,आपकी चिंगारी ने कितने सर्दियों के चक्र जलाए ?,QUANTI CICLI INVERNALI HA BRUCIATO LA TUA SCINTILLA ?,ILE CYKLI ZIMOWYCH SPALIŁA TWOJA ISKRA ?,СКОЛЬКО ЗИМНИХ ЦИКЛОВ ПРОГОРЕЛА ТВОЯ ИСКРА ?,¿CUÁNTOS CICLOS DE INVIERNO HA QUEMADO TU CHISPA ?,СКІЛЬКИ ЗИМ ТВОЯ ІСКРА ПАЛАЛА ?,KIVILCIMIN KAÇ KIŞ DÖNGÜSÜ YANDI ?
init.gender_question,WHAT ENERGY DO YOU BRING TO THE NEXUS?,QUELLE ÉNERGIE APPORTES-TU AU NEXUS ?,WELCHE ENERGIE BRINGST DU IN DEN NEXUS ?,आप नेक्सस में कौन सी ऊर्जा लाते हैं ?,QUALE ENERGIA PORTI AL NEXUS ?,JAKĄ ENERGIĘ WNIESZ DO NEXUS ?,КАКУЮ ЭНЕРГИЮ ТЫ НЕСЁШЬ В НЕКСУС ?,¿QUÉ ENERGÍA TRAES AL NEXUS ?,ЯКУ ЕНЕРГІЮ ТИ НЕСЕШ У НЕКСУС ?,NEXUS'A HANGİ ENERJİYİ GETİRİYORSUN ?
init.location_question,WHERE IS YOUR AURA STRONGEST IN SPACE?,OÙ TON AURA EST-ELLE LA PLUS FORTE DANS L'ESPACE ?,WO IST DEINE AURA IM RAUM AM STÄRKSTEN ?,अंतरिक्ष में आपकी औरा सबसे मजबूत कहाँ है ?,DOVE È PIÙ FORTE LA TUA AURA NELLO SPAZIO ?,GDZIE TWOJA AURA JEST NAJsilniejsza W PRZESTRZENI ?,ГДЕ ТВОЯ АУРА СИЛЬНЕЕ ВСЕГО В ПРОСТРАНСТВЕ ?,¿ДÓNDE ES MÁS FUERTE TU AURA EN EL ESPACIO ?,ДЕ САМЕ У ПРОСТОРІ ТВОЯ АУРА НАЙСИЛЬНІША ?,AURAN UZAYDA EN GÜÇLÜ NEREDE ?
init.final_seal,YOUR PATH IS SEALED. WELCOME.,TON CHEMIN EST SCELLÉ. BIENVENUE.,DEIN WEG IST VERSIEGELT. WILLKOMMEN.,आपका मार्ग मुहरबंद है। स्वागत है।,IL TUO CAMMINO È SIGILLATO. BENVENUTO.,TWÓJ ŚCIEŻKA ZOSTAŁA ZAPECZĘTOWANA. WITAJ.,ТВОЙ ПУТЬ ЗАПЕЧАТАН. ДОБРО ПОЖАЛОВАТЬ.,TU CAMINO ESTÁ SELLADO. BIENVENIDO.,ТВІЙ ШЛЯХ ЗАПЕЧАТАНО. ЛАСКАВО ПРОСИМО.,YOLUN MÜHÜRLENDİ. HOŞ GELDİN.
msg.oracle_silent,The Aura is silent today.,L'Aura est silencieuse aujourd'hui.,Die Aura schweigt heute.,आज औरा चुप है।,L'Aura è silenziosa oggi.,Aura jest dziś milcząca.,Аура сегодня молчит.,El Aura está silenciosa hoy.,Аура сьогодні мовчить.,Aura bugün sessiz.
init.gender_m,MASCULINE,MASCULIN,MASKULIN,पुरुष,MASCHILE,MĘSKI,МУЖСКОЙ,MASCULINO,ЧОЛОВІЧА,ERKEKSEL
init.gender_f,FEMININE,FÉMININ,FEMININ,स्त्री,FEMMINILE,ŻEŃSKI,ЖЕНСКИЙ,FEMENINO,ЖІНОЧА,KADINSEL
init.gender_x,NEUTRAL,NEUTRE,NEUTRAL,न्यूट्रल,NEUTRALE,NEUTRALNY,НЕЙТРАЛЬНЫЙ,NEUTRO,НЕЙТРАЛЬНА,NÖTR
init.loc_placeholder,SEARCH YOUR REALM...,RECHERCHE TON ROYAUME...,SUCHE DEIN REICH...,अपने राज्य की खोज करें...,CERCA IL TUO REGNO...,SZUKAJ SWOJEGO KRÓLESTWA...,ИЩИ СВОЁ ЦАРСТВО...,BUSCA TU REINO...,ПОШУК ТВОГО ЦАРСТВА...,ÂLEMİNİ ARA...
btn.confirm_age,CONFIRM AGE,CONFIRMER L'ÂGE,ALTER BESTÄTIGEN,आयु की पुष्टि करें,CONFERMA ETÀ,POTWIERDŹ WIEK,ПОДТВЕРДИТЬ ВОЗРАСТ,CONFIRMAR EDAD,ПІДТВЕРДИТІ ВІК,YAŞI ONAYLA
btn.illuminate,ILLUMINATE MY PRESENCE,ILLUMINER MA PRÉSENCE,MEINE PRÄSENZ ERLEUCHTEN,मेरी उपस्थिति को प्रकाशित करें,ILLUMINA LA MIA PRESENZA,OŚWIETL MOJĄ OBECNOŚĆ,ОСВЕТИ МОЁ ПРИСУТСТВИЕ,ILUMINAR MI PRESENCIA,ЯВИТИ МОЮ ПРИСУТНІСТЬ,VARLIĞIMI AYDINLAT
tab.symmetry,SYMMETRY,SYMÉTRIE,SYMMETRIE,समरूपता,SIMMETRIA,SYMETRIA,СИММЕТРИЯ,SIMETRÍA,СИМЕТРІЯ,SİMETРІ
tab.near,NEARBY,À PROXIMITÉ,IN DER NÄHE,आस-पास,VICINI,W POBLIŻU,РЯДОМ,CERCANOS,ПОРУЧ,YAKINDA
msg.beta_feature,👁️ Oracle: This feature will manifest in future cycles (Beta).,👁️ Oracle: Cette fonctionnalité se manifestera dans les cycles futurs (Beta).,👁️ Orakel: Diese Funktion wird sich in zukünftigen Zyklen manifestieren (Beta).,👁️ ओरेकल: यह सुविधा भविष्य के चक्रों (बीटा) में प्रकट होगी।,👁️ Oracolo: Questa funzione si manifesterà nei cicli futuri (Beta).,👁️ Wyrocznia: Ta funkcja objawi się w przyszłych cyklach (Beta).,👁️ Оракул: Эта функция проявится в будущих циклах (Beta).,👁️ Oráculo: Esta función se manifestará en ciclos futuros (Beta).,👁️ Оракул: Ця функція проявиться у наступних циклах (Beta).,👁️ Kahin: Bu özellik gelecek döngülerde (Beta) tezahür edecek.
settings.audio_master,MASTER VOLUME,VOLUME GÉNÉRAL,GESAMTLAUTSTÄRKE,माстер वॉल्यूम,VOLUME GENERALE,GŁOŚNOŚĆ GŁÓWNA,ОБЩАЯ ГРОМКОСТЬ,VOLUMEN MAESTRO,ЗАГАЛЬНА ГУЧНІСТЬ,ANA SES
settings.audio_music,MUSIC,MUSIQUE,MUSIK,संगीत,MUSICA,MUZYKA,МУЗЫКА,MÚSICA,МУЗИКА,MÜZİK
settings.audio_sfx,EFFECTS,EFFETS,EFFEKTE,प्रभाव,EFFETTI,EFEKTY,ЭФФЕКТЫ,EFECTOS,ЕФЕКТИ,EFEKTLER
settings.audio_voice,ORACLE VOICE,VOIX DE L'ORACLE,ORAKELSTIMME,ओरेकल आवाज,VOCE DELL'ORACOLO,GŁOS WYROCZNI,ГОЛОС ОРАКУЛА,VOZ DEL ORÁCULO,ГОЛОС ОРАКУЛА,KAHİN SESİ
settings.audio_mute,MUTE,SOURDINE,STUMMSCHALTEN,म्यूट,MUTO,WYCISZ,ВЫКЛЮЧИТЬ ЗВУК,SILENCIAR,ВИМКНУТИ ЗВУК,SESSİZ
vault.header,THE AKASHIC VAULT,LA VOÛTE AKASHIQUE,DAS AKASHA-GEWÖLBE,आकाशिक वॉल्ट,IL VOLTO AKASHICO,AKASZYCKI SKARBIEC,АКАШИЧЕСКОЕ ХРАНИЛИЩЕ,LA BÓVEDA AKÁSHICA,АКАШІ-СХОВИЩЕ,AKAŞİK KASA
term.symmetry_detected,SYMMETRY DETECTED,SYMÉTRIE DÉTECTÉE,SYMMETRIE ERKANNT,समरूपता का पता चला,SIMMETRIA RILEVATA,WYKRYTO SYMETRIĘ,СИММЕТРИЯ ОБНАРУЖЕНА,SIMETRÍA DETECTADA,СИМЕТРІЮ ВИЯВЛЕНО,SİMETRİ TESPİT EDİLDİ
btn.decline,DECLINE,DÉCLINER,ABLEHNEN,अस्वीकार करें,DECLINA,ODRZUĆ,ОТКЛОНИТЬ,RECHAZAR,ВІДХИЛИТИ,REDDET
app_name,TimeAura,TimeAura,TimeAura,TimeAura,TimeAura,TimeAura,TimeAura,TimeAura,TimeAura,TimeAura
init.name_question,BY WHAT NAME SHALL THE NEXUS KNOW YOU?,PAR QUEL NOM LE NEXUS VOUS CONNAÎTRA-T-IL ?,UNTER WELCHEM NAMEN SOLL DICH DER NEXUS KENNEN ?,नेक्सस आपको किस नाम से जानेगा?,CON QUALE NOME TI CONOSCERÀ IL NEXUS ?,POD JAKIM IMIENIEM NEXUS CIĘ POZNA ?,ПОД КАКИМ ИМЕНЕМ НЕКСУС БУДЕТ ЗНАТЬ ТЕБЯ ?,¿CON QUÉ NOMBRE TE CONOCERÁ EL NEXUS ?,ЯК ТЕБЕ ЗВАТИМУТЬ У НЕКСУСІ ?,NEXUS SENİ HANGİ ІSİMLE TANIMALI ?
btn.reveal,REVEAL,RÉVÉLER,ENTHÜLLEN,प्रकट करें,RIVELA,OBJAW,РАСКРЫТЬ,REVELAR,ЯВИТИ,AÇIĞA ÇIKAR
init.category_question,What do you bring to the Nexus?,Que apportez-vous au Nexus ?,Was bringst du in den Nexus ?,आप नेक्सс में क्या लाते हैं ?,Cosa porti al Nexus ?,Co wnosisz do Nexus ?,Что ты приносишь в Нексус ?,¿Qué traes al Nexus ?,Що ти приносиш у Нексус ?,Nexus'a ne getiriyorsun ?
init.cat_material,⚒️ MATERIAL,⚒️ MATÉRIEL,⚒️ MATERIELL,⚒️ सामग्री,⚒️ MATERIALE,⚒️ MATERIALNE,⚒️ МАТЕРИАЛЬНОЕ,⚒️ MATERIAL,⚒️ МАТЕРІАЛЬНЕ,⚒️ MATERYAL
init.cat_ethereal,✦ ETHEREAL,✦ ÉTHÉRÉ,✦ ÄTHERISCH,✦ ईथरी,✦ ETEREO,✦ ETERYCZNE,✦ ЭФИРНОЕ,✦ ETÉREO,✦ ЕФІРНЕ,✦ ETERİK
btn.confirm_offering,CONFIRM OFFERING,CONFIRMER L'OFFRE,ANGEBOT BESTÄTIGEN,प्रस्ताव की पुष्टि करें,CONFERMA OFFERTA,POTWIERDŹ OFERTĘ,ПОДТВЕРДИТЬ ДАР,CONFIRMAR OFRENDA,ПІДТВЕРДИТІ ДАР,TEKLİFİ ONAYLA
msg.ritual_final_blessing,Your path is sealed. Welcome.,Votre chemin est scellé. Bienvenue.,Dein Weg ist versiegelt. Willkommen.,आपका मार्ग मुहरबंद है। स्वागत है।,Il tuo cammino è sigillato. Benvenuto.,Twój ścieżka została zapieczętowana. Witaj.,Твой путь запечатан. Добро пожаловать.,Tu camino está sellado. Bienvenido.,Твій шлях запечатано. Ласкаво просимо.,Yolun mühürlendi. Hoş geldin.
term.success,SUCCESS,SUCCÈS,ERFOLG,सफलता,SUCCESSO,SUKCES,УСПЕХ,ÉXITO,УСПІХ,BAŞARI
tier.aspirant,ASPIRANT,ASPIRANT,ANWÄRTER,आकांक्षी,ASPIRANTE,ASPIRANT,ПРЕТЕНДЕНТ,ASPIRANTE,ПРЕТЕНДЕНТ,ADAY
tier.master,MASTER,MAÎTRE,MEISTER,माстер,MAESTRO,MISTRZ,МАСТЕР,MAESTRO,МАЙСТЕР,USTA
tier.oracle,ORACLE,ORACLE,ORAKEL,ओरेकल,ORACOLO,WYROCZNIA,ОРАКУЛ,ORÁCULO,ОРАКУЛ,KAHİN
init.location_success,The Ley Lines are aligned.,Les Lignes de Force sont alignées.,Die Ley-Linien sind ausgerichtet.,ले लाइन्स संरेखित हैं।,Le Linee di Forza sono allineate.,Linie Mocy są wyrównane.,Лей-линии выровнены.,Las Líneas Ley están alineadas.,Лей-лінії вирівняні.,Ley Hatları hizalandı.
init.location_failed,The ether is turbulent here. Try another spot.,L'éther est turbulent ici. Essayez un autre endroit.,Der Äther ist hier turbulent. Versuche es an einem anderen Ort.,यहाँ ईथर अशांत है। दूसरी जगह प्रयास करें।,L'etere è turbolento qui. Prova un altro punto.,Eter jest tutaj turbulentny. Spróbuj w innym miejscu.,Эфир здесь турбулентен. Попробуйте другое место.,El éter está turbulento aquí. Prueba en otro lugar.,Ефір тут турбулентний. Спробуйте інше місце.,Eter burada çalkantılı. Başka bir yer deneyin.
msg.prophecy_wait,Awaiting the sacred breath...,En attente du souffle sacré...,Warten auf den heiligen Atem...,पवित्र सांस की प्रतीक्षा है...,In attesa del respiro sacro...,Oczekiwanie na święty oddech...,Ожидание священного дыхания...,Esperando el aliento sagrado...,Очікування священного подиху...,Kutsal nefes bekleniyor...
msg.visage_ritual_start,Commencing the Ritual of Visage.,Commencement du Rituel du Visage.,Beginn des Antlitz-Rituals.,चेहरे का अनुष्ठान शुरू हो रहा है।,Inizio del Rituale del Volto.,Rozpoczynanie Rytuału Oblicza.,Начало Ритуала Облика.,Comenzando el Ritual del Rostro.,Початок Ритуалу Обличчя.,Görünüm Ritüeli başlıyor.
msg.ritual_shadow_path,The shadow path reveals your true essence.,Le chemin de l'ombre révèle votre véritable essence.,Der Schattenpfad offenbart dein wahres Wesen.,छाया पथ आपके वास्तविक सार को प्रकट करता है।,Il cammino dell'ombra rivela la tua vera essenza.,Cienista ścieżka ujawnia twoją prawdziwą esencję.,Теневой путь раскрывает вашу истинную сущность.,El camino de la sombra revela tu verdadera esencia.,Тіньовий шлях відкриває твою справжню суть.,Gölge yolu gerçek özünü ortaya çıkarır.
term.realm_unknown,Unknown Realm,Royaume Inconnu,Unbekanntes Reich,अज्ञात क्षेत्र,Regno Sconosciuto,Nieznane Królestwo,Unknown Realm,Reino Desconocido,Невідомий Світ,Bilinmeyen Diyar
term.bio_empty,Your legacy remains unwritten...,Votre héritage reste à écrire...,Dein Vermächtnis ist noch ungeschrieben...,आपकी विरासत अलिखित है...,La tua eredità resta non scritta...,Twoje dziedzictwo pozostaje niespisane...,Ваше наследие еще не написано...,Tu legado aún no se ha escrito...,Твій спадок ще не написаний...,Mirasın henüz yazılmadı...
tab.manifest,MANIFEST,MANIFESTE,MANIFEST,प्रकट,MANIFESTO,MANIFEST,MANIFEST,MANIFESTO,МОЖУ,TEZAHÜR
tab.intent,INTENT,INTENTION,INTENTION,इरादा,INTENTO,ZAMIAR,ИНТЕНТ,INTENCIÓN,ХОЧУ,NİYET
tab.compass,COMPASS,BOUSSOLE,KOMPASS,कम्पास,BUSSOLA,KOMPAS,КОМПАС,BRÚJULA,КОМПАС,PUSULA
oracle.prompt,MEDITATE WITH THE ORACLE,MÉDITER AVEC L'ORACLE,MIT DEM ORakel MEDITIEREN,ओरेकल के साथ ध्यान करें,MEDITA CON L'ORACOLO,MEDITUJ Z ORACLE,МЕДИТИРУЙ С ОРАКУЛОМ,MEDITA CON EL ORÁCULO,МЕДИТАЦІЯ З ОРАКУЛОМ,ORAKUL İLE MEDİTASYON YAP
oracle.thoughts_placeholder,Describe your skills and what you seek...,Décrivez vos compétences...,Beschreibe deine Fähigkeiten...,अपने कौशल का वर्णन करें...,Descrivi le tue abilità...,Opisz swoje umiejętności...,Опиши свои навыки и что ищешь...,Describe tus habilidades...,Опиши свої навички та що ти шукаєш...,Becerilerinizi tanımlayın...
oracle.persona_question,Choose your resonance style,Choisissez votre style de résonance,Wähle deinen Resonanzstil,अपनी प्रतिध्वनि शैली चुनें,Scegli il tuo stile di risonanza,Wybierz swój styl rezonansu,Выбери свой стиль резонанса,Elige tu estilo de resonancia,Оберіть свій стиль резонансу,Rezonans tarzınızı seçin
oracle.persona_confirmed,Your resonance has been aligned.,Votre résonance a été alignée.,Deine Resonanz wurde angepasst.,आपकी प्रतिध्वनि संरेखित हो गई है।,La tua risonanza è stata allineata.,Twój rezonans został wyrównany.,Твой резонанс настроен.,Tu resonancia ha sido alineada.,Твій резонанс налаштовано.,Rezonansınız hizalandı.
persona.mystic,MYSTIC,MYSTIQUE,MYSTISCH,रहस्यमय,MISTICO,MISTYCZNY,МИСТИЧЕСКИЙ,MÍSTICO,МІСТИЧНИЙ,MİSTİK
